car 0.033043477684259415
truck 0.033043477684259415
car 0.004474503453820944
traffic light 0.0005260332836769521
traffic light 0.001243156148120761
traffic light 0.00047450349666178226
traffic light 0.0005582394078373909
traffic light 0.005541599355638027
traffic light 0.0030016102828085423
traffic light 0.0021062802989035845
traffic light 0.0022007515653967857
traffic light 3.0059043638175353e-05
traffic light 0.008949006907641888
traffic light 0.0011529790936037898
traffic light 0.00019108963897451758
traffic light 0.0005367686389945447
traffic light 1.5029521819087677e-05
traffic light 4.2941494029946625e-05
traffic light 0.000388620508601889
traffic light 9.447128104511648e-05
traffic light 0.0009017713600769639
traffic light 0.000388620508601889
traffic light 0.0004981213132850826
traffic light 0.00022973697923589498
traffic light 0.00020397208572831005
traffic light 0.0005110037745907903
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
parking meter 0.00010091250442201272
traffic light 0.00041653247899375856
traffic light 0.000811594189144671
traffic light 0.0004057970945723355
traffic light 0.00038003220106475055
car 0.00012667740520555526
stop sign 0.00016532474546693265
traffic light 9.232421143678948e-05
traffic light 3.86473438993562e-05
car 0.003143317298963666
stop sign 0.003143317298963666
traffic light 4.5088567276252434e-05
traffic light 0.0003091787511948496
traffic light 0.0001760601153364405
traffic light 0.0005925925797782838
parking meter 0.0008545356686227024
traffic light 0.00010520665819058195
traffic light 0.00046162103535607457
traffic light 0.0005496511003002524
traffic light 0.0009060655138455331
traffic light 0.003884057980030775
traffic light 0.0002619430888444185
traffic light 0.00031347290496341884
