car 0.006069779861718416
car 0.005786366295069456
truck 0.005786366295069456
traffic light 0.0005303274374455214
traffic light 0.0012045088224112988
traffic light 0.0004637681122403592
traffic light 0.00289210956543684
traffic light 0.0005625335616059601
traffic light 0.005556629039347172
traffic light 0.0021062802989035845
traffic light 0.009011272341012955
traffic light 3.0059043638175353e-05
traffic light 0.0021986044012010098
traffic light 0.00019108963897451758
traffic light 0.0004959742072969675
traffic light 0.0010198603849858046
traffic light 4.723564052255824e-05
parking meter 0.0009855072712525725
traffic light 1.717659688438289e-05
traffic light 9.66183579294011e-05
traffic light 0.0003757380472961813
stop sign 0.001101449248380959
traffic light 0.0008373591117560863
traffic light 0.00022758990235161036
traffic light 0.00020397208572831005
traffic light 8.803005766822025e-05
stop sign 8.803005766822025e-05
traffic light 0.0005152979283593595
traffic light 0.0005131508223712444
traffic light 0.0001739130384521559
car 0.000991948414593935
traffic light 0.00041438540210947394
traffic light 0.0002619430888444185
traffic light 9.876543481368572e-05
stop sign 0.0031454642303287983
traffic light 0.0004079441714566201
car 0.00011379495117580518
traffic light 0.0003864734317176044
traffic light 0.0008287708042189479
car 0.0008008588338270783
traffic light 3.86473438993562e-05
traffic light 0.00010305958130629733
traffic light 0.0006226516561582685
traffic light 0.0003091787511948496
parking meter 0.00011164788156747818
traffic light 0.00030059044365771115
traffic light 4.5088567276252434e-05
traffic light 0.00364787969738245
traffic light 0.00045947395847178996
traffic light 0.0003285024140495807
traffic light 0.0005453569465316832
traffic light 0.0009082125616259873
car 0.0006999463075771928
traffic light 0.0003972088161390275
stop sign 0.00015673645248170942
