car 0.0032184647861868143
traffic light 0.0005260332836769521
traffic light 0.0012410091003403068
traffic light 0.0004637681122403592
traffic light 0.005593129433691502
traffic light 0.0005603864556178451
traffic light 0.002093397779390216
traffic light 0.0010585078271105886
traffic light 3.435319376876578e-05
traffic light 0.002179280621930957
traffic light 0.0030660226475447416
stop sign 0.0031841115560382605
traffic light 0.00019108963897451758
traffic light 1.5029521819087677e-05
traffic light 3.86473438993562e-05
traffic light 9.232421143678948e-05
traffic light 0.0005152979283593595
traffic light 0.0003843263548333198
car 5.1529790653148666e-05
traffic light 0.009019860066473484
traffic light 0.0008545356686227024
traffic light 0.00020182500884402543
traffic light 0.0005152979283593595
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
traffic light 0.0005517981480807066
traffic light 0.0002318840561201796
car 0.00014385400572791696
traffic light 9.876543481368572e-05
traffic light 0.0003714438935276121
traffic light 0.0004186795558780432
traffic light 0.00025550188729539514
traffic light 0.00039291466237045825
traffic light 0.0001760601153364405
stop sign 0.00011379495117580518
traffic light 0.0003091787511948496
traffic light 0.0008373591117560863
traffic light 0.0008266236982308328
traffic light 0.00074074073927477
parking meter 0.0008824476390145719
traffic light 0.0006247987039387226
traffic light 0.000388620508601889
traffic light 0.0012238324852660298
traffic light 0.004229736980050802
traffic light 0.00046162103535607457
traffic light 0.0005539452540688217
car 9.447128104511648e-05
traffic light 0.0008974772063083947
traffic light 9.66183579294011e-05
traffic light 0.00027697262703441083
traffic light 0.00032206118339672685
traffic light 0.00036070853821001947
traffic light 5.1529790653148666e-05
