car 0.0028770798817276955
truck 0.0028770798817276955
traffic light 0.0005260332836769521
traffic light 0.0011315082665532827
traffic light 0.00046162103535607457
traffic light 0.0005582394078373909
traffic light 0.005676865112036467
traffic light 0.0021234566811472178
traffic light 3.220612052245997e-05
traffic light 0.001208803034387529
traffic light 0.0001932367158588022
traffic light 0.0030445517040789127
traffic light 1.5029521819087677e-05
traffic light 0.0005131508223712444
traffic light 4.2941494029946625e-05
traffic light 0.0022007515653967857
traffic light 0.009004831314086914
traffic light 0.0003735909704118967
traffic light 0.00010091250442201272
car 4.938271740684286e-05
traffic light 4.938271740684286e-05
traffic light 0.0014320987975224853
stop sign 0.0011143317678943276
car 7.94417574070394e-05
traffic light 0.00020182500884402543
traffic light 0.00022973697923589498
traffic light 0.0005110037745907903
stop sign 0.0004938271595165133
traffic light 9.017713455250487e-05
stop sign 9.017713455250487e-05
traffic light 0.00038217927794903517
traffic light 0.0004186795558780432
traffic light 0.000523886177688837
traffic light 8.588298805989325e-05
traffic light 0.0004057970945723355
car 0.0031132581643760204
stop sign 0.0031132581643760204
traffic light 6.226516416063532e-05
traffic light 0.00025550188729539514
traffic light 3.86473438993562e-05
traffic light 0.00016961889923550189
traffic light 0.0008223296026699245
stop sign 0.00012238325143698603
traffic light 0.0003113258280791342
car 8.803005766822025e-05
traffic light 0.0006333870114758611
parking meter 0.0008760064374655485
traffic light 0.000307031674310565
traffic light 0.0003327965678181499
traffic light 9.66183579294011e-05
traffic light 0.00045947395847178996
traffic light 0.0009060655138455331
traffic light 0.0006763284909538925
traffic light 0.0010993022006005049
traffic light 0.0005389157449826598
traffic light 0.00039076758548617363
