car 0.02658722549676895
truck 0.02658722549676895
car 0.000994095578789711
truck 0.000994095578789711
traffic light 0.0012538916198536754
traffic light 0.002995169023051858
traffic light 0.0005646806093864143
traffic light 0.0056231883354485035
traffic light 0.002132045105099678
traffic light 0.008957595564424992
traffic light 3.6500267015071586e-05
traffic light 0.00019108963897451758
traffic light 0.002185721881687641
traffic light 0.0011529790936037898
traffic light 9.66183579294011e-05
traffic light 3.86473438993562e-05
traffic light 9.232421143678948e-05
traffic light 0.0003843263548333198
traffic light 1.93236719496781e-05
traffic light 0.0005195920821279287
traffic light 0.0008266236982308328
car 6.441224104491994e-05
car 0.00314117013476789
stop sign 0.00314117013476789
traffic light 0.00022758990235161036
traffic light 0.00020182500884402543
traffic light 0.00039935586391948164
traffic light 0.0005110037745907903
traffic light 0.00040365001768805087
traffic light 9.66183579294011e-05
traffic light 0.000523886177688837
traffic light 0.00041653247899375856
traffic light 0.0001717659761197865
traffic light 0.0002619430888444185
traffic light 6.655931065324694e-05
traffic light 0.00038003220106475055
car 0.0001352656981907785
traffic light 0.0003091787511948496
traffic light 4.079441714566201e-05
traffic light 0.0004229737096466124
traffic light 0.0008287708042189479
parking meter 0.0008695652359165251
traffic light 0.0011615674011409283
parking meter 0.00011379495117580518
traffic light 0.000541062792763114
traffic light 0.0038497047498822212
car 9.232421143678948e-05
traffic light 0.0004637681122403592
traffic light 0.00048309177509509027
traffic light 0.000577563070692122
traffic light 0.003707997966557741
traffic light 9.876543481368572e-05
traffic light 0.0009060655138455331
traffic light 0.0003542673075571656
traffic light 0.000541062792763114
traffic light 0.00028126678080298007
