motorcycle 0.0012918300926685333
potted plant 0.0013778051361441612
potted plant 0.0008112516952678561
potted plant 0.0026145230513066053
potted plant 0.00035492260940372944
potted plant 0.0013248975155875087
potted plant 0.0005996208055876195
potted plant 0.0007429125253111124
potted plant 0.0013116705231368542
potted plant 0.0008663638727739453
traffic light 0.0004651470226235688
potted plant 0.0013204885181039572
potted plant 0.0005070323240943253
potted plant 0.0008112516952678561
potted plant 0.00026894756592810154
potted plant 0.001049336395226419
stop sign 0.0006878003478050232
