stop sign 0.006672985851764679
potted plant 0.0011860147351399064
potted plant 0.009227988310158253
potted plant 0.00258806929923594
potted plant 0.002826153999194503
potted plant 0.016368325799703598
fire hydrant 0.004453066270798445
potted plant 0.002918742597103119
potted plant 0.0004364886844996363
potted plant 0.0006723689148202538
potted plant 0.006573784165084362
potted plant 0.00828446727246046
potted plant 0.0015519597800448537
potted plant 0.0036307922564446926
potted plant 0.0033133458346128464
potted plant 0.017638111487030983
