car 0.05754375830292702
car 0.011119439266622066
bicycle 0.0030906926840543747
potted plant 0.012439927086234093
potted plant 0.010436047799885273
potted plant 0.0015387327875941992
potted plant 0.0007517305202782154
potted plant 0.0012675807811319828
potted plant 0.0028173360042274
potted plant 0.002590273739770055
umbrella 0.004380318336188793
potted plant 0.0017150918720290065
potted plant 0.0015100744785740972
potted plant 0.002010493306443095
potted plant 0.0007340945885516703
potted plant 0.0011948326136916876
truck 0.005464926362037659
bench 0.005374542437493801
potted plant 0.0013844186905771494
potted plant 0.0006282791728153825
potted plant 0.00026233409880660474
potted plant 0.0003020149015355855
potted plant 0.0029936949722468853
potted plant 0.0005445086280815303
potted plant 0.0012874212116003036
potted plant 0.0032913009636104107
potted plant 0.0008090471965260804
potted plant 0.0008332965662702918
potted plant 0.002144967205822468
potted plant 0.04257969185709953
potted plant 0.08120893687009811
potted plant 0.0029716501012444496
person 0.001397645566612482
potted plant 0.0004938053898513317
potted plant 0.04747806489467621
potted plant 0.00025351616204716265
potted plant 0.019456813111901283
potted plant 0.0005577355623245239
potted plant 0.0032472112216055393
potted plant 0.0017305233050137758
potted plant 0.0006745734135620296
potted plant 0.0004695559910032898
potted plant 0.00024028922780416906
potted plant 0.002493276260793209
potted plant 0.000698822783306241
potted plant 0.001161765307188034
potted plant 0.0004673515213653445
potted plant 0.004120188765227795
potted plant 0.02023279294371605
potted plant 0.0020171068608760834
potted plant 0.0026211366057395935
potted plant 0.0071381330490112305
