fire hydrant 0.00024910716456361115
traffic light 0.00025572063168510795
traffic light 0.00016313213563989848
traffic light 0.00013888276589568704
traffic light 0.0018539746524766088
stop sign 0.0018539746524766088
traffic light 5.952118226559833e-05
traffic light 0.0007605484570376575
traffic light 0.0007296856492757797
potted plant 0.0021978747099637985
traffic light 0.0003086283686570823
traffic light 0.00011683788034133613
traffic light 0.0002909924660343677
traffic light 0.0011154711246490479
