car 0.041100479662418365
bus 0.041100479662418365
truck 0.041100479662418365
traffic light 0.0013623737031593919
stop sign 0.0013623737031593919
fire hydrant 0.0020722190383821726
potted plant 0.003648428013548255
potted plant 0.001785635482519865
potted plant 0.008086062967777252
potted plant 0.0024712313897907734
potted plant 0.010641064494848251
traffic light 0.003494113916531205
potted plant 0.00017635905533097684
traffic light 0.0008266831282526255
potted plant 0.0013182839611545205
potted plant 0.001512278919108212
potted plant 0.0006966182845644653
potted plant 0.005396587308496237
fire hydrant 0.0015144834760576487
potted plant 0.0013954411260783672
potted plant 0.0006833913503214717
bench 0.0005070323240943253
