traffic light 0.00015430247003678232
stop sign 0.00015430247003678232
parking meter 0.00015430247003678232
fire hydrant 0.000503626128192991
stop sign 0.000503626128192991
parking meter 0.000503626128192991
stop sign 0.00012644230446312577
person 0.00011144067684654146
fire hydrant 0.00011144067684654146
parking meter 0.00011144067684654146
stop sign 0.0001178699458250776
stop sign 0.0002314537123311311
fire hydrant 0.00030860494007356465
stop sign 0.00030860494007356465
parking meter 0.00030860494007356465
potted plant 0.08784311264753342
