car 0.0245705246925354
car 0.008055875077843666
potted plant 0.0029360330663621426
potted plant 0.003334647975862026
potted plant 0.0013694344088435173
potted plant 0.020704390481114388
potted plant 0.005051262676715851
potted plant 0.008848818019032478
potted plant 0.0015687417471781373
potted plant 0.0010415416909381747
potted plant 0.0017401890363544226
potted plant 0.00031289111939258873
potted plant 0.029197456315159798
potted plant 0.0020873695611953735
potted plant 0.0018301988020539284
potted plant 0.001862345146946609
potted plant 0.00341394217684865
potted plant 0.02060580998659134
potted plant 0.0009643904631957412
potted plant 0.0011615547118708491
parking meter 0.001150839263573289
potted plant 0.007365799974650145
potted plant 0.0014830181607976556
potted plant 0.0018709175055846572
potted plant 0.0014187254710122943
potted plant 0.0019694995135068893
potted plant 0.0008636652491986752
potted plant 0.0007393659907393157
