person 0.00037718380917795
traffic light 0.00037718380917795
fire hydrant 0.00037718380917795
stop sign 0.00037718380917795
parking meter 0.00037718380917795
fire hydrant 0.0001735902769723907
traffic light 0.00017573336663190275
stop sign 0.00017573336663190275
parking meter 0.00017573336663190275
stop sign 0.0017209012294188142
traffic light 6.857887638034299e-05
traffic light 0.00020573663641698658
stop sign 0.00020573663641698658
parking meter 0.00020573663641698658
fire hydrant 0.0002614569675642997
stop sign 0.0001735902769723907
