oven 0.04254033416509628
toaster 0.04254033416509628
traffic light 0.0010822603944689035
fire hydrant 0.0003621821815613657
parking meter 0.0003621821815613657
fire hydrant 9.858213161351159e-05
traffic light 0.0010822603944689035
fire hydrant 0.0014272978296503425
fire hydrant 0.0004671936039812863
fire hydrant 0.0006193529698066413
fire hydrant 0.0002571707882452756
traffic light 0.0002914602227974683
traffic light 0.0001628748286748305
fire hydrant 0.0006857887492515147
parking meter 0.00041575945215299726
person 0.0006257822387851775
fire hydrant 0.0006257822387851775
traffic light 0.0008786668768152595
stop sign 0.0008786668768152595
traffic light 0.00042647490045055747
traffic light 0.0009601042838767171
