bed 0.1229134127497673
chair 0.01282552070915699
book 0.0006152343703433871
clock 0.00027018229593522847
book 0.0037955730222165585
remote 0.0002929687616415322
dining table 0.03460286557674408
clock 0.0041178385727107525
book 0.00047200522385537624
chair 0.027093099430203438
chair 0.0016764323227107525
bowl 0.0004915364552289248
book 0.0016080730129033327
book 0.0005143229500390589
book 0.0009863281156867743
chair 0.010660807602107525
chair 0.005732422228902578
book 0.0008919271058402956
cup 0.0005175781552679837
clock 0.0005175781552679837
clock 0.00042317708721384406
dining table 0.023219401016831398
chair 0.022910157218575478
dining table 0.008258463814854622
book 0.008258463814854622
chair 0.005654296837747097
book 0.0010839843889698386
clock 0.0003678385401144624
book 0.0003450521035119891
book 0.0014355469029396772
