tv 0.15137696266174316
chair 0.027031250298023224
cup 0.0005110677448101342
bowl 0.0005110677448101342
bottle 0.001979166641831398
vase 0.001979166641831398
spoon 0.0006868490017950535
dining table 0.024472657591104507
sink 0.0005566406180150807
cup 0.0015332031762227416
vase 0.0015332031762227416
sink 0.0010481771314516664
sink 0.0007356770802289248
sink 0.0006803385331295431
cup 0.0013378906296566129
vase 0.0013378906296566129
spoon 0.00040364585584029555
sink 0.0010579427471384406
dining table 0.006243489682674408
remote 0.0005989583441987634
cell phone 0.0005989583441987634
sink 0.0007649739854969084
cup 0.0008040365064516664
vase 0.0008040365064516664
sink 0.0005891927285119891
toothbrush 0.0002734375011641532
sink 0.002132161520421505
bowl 0.0012532552937045693
chair 0.006230468861758709
sink 0.006425781175494194
