refrigerator 0.0806998685002327
chair 0.08892904222011566
banana 0.0036295573227107525
chair 0.061168622225522995
chair 0.055504560470581055
vase 0.0024316406343132257
dining table 0.0685514360666275
bowl 0.0046061198227107525
oven 0.0015722656389698386
sink 0.0015722656389698386
potted plant 0.010804036632180214
dining table 0.08532226830720901
sink 0.0020703126210719347
potted plant 0.0036165365017950535
sink 0.008281250484287739
bottle 0.002822265727445483
bowl 0.001731770928017795
oven 0.001386718824505806
sink 0.001386718824505806
microwave 0.012718099169433117
oven 0.012718099169433117
banana 0.0017936198273673654
sink 0.0010807291837409139
cup 0.0008398437639698386
bowl 0.001848958432674408
bowl 0.0016471354756504297
banana 0.0014290364924818277
sink 0.0028808594215661287
banana 0.0011751302517950535
sink 0.0006738281226716936
sink 0.0002799479116220027
cup 0.0007779948064126074
book 0.0031542968936264515
banana 0.00041015626629814506
bottle 0.0008365885587409139
sink 0.0007421874906867743
bottle 0.0006380208651535213
vase 0.0006380208651535213
potted plant 0.0023860677611082792
sink 0.0008919271058402956
sink 0.0011490886099636555
oven 0.014078776352107525
sink 0.0011881510727107525
sink 0.0002539062697906047
sink 0.0012109375093132257
cup 0.0010611979523673654
vase 0.0010611979523673654
handbag 0.006647135596722364
sink 0.00033854166395030916
bottle 0.001142578199505806
bowl 0.002415364608168602
dining table 0.03107096441090107
oven 0.03355143219232559
sink 0.003610026091337204
bowl 0.0014160156715661287
vase 0.00041015626629814506
sink 0.0009147135424427688
sink 0.0006575520965270698
sink 0.0002864583511836827
sink 0.0008138021221384406
