tv 0.031080730259418488
couch 0.1004752591252327
remote 0.0008561197901144624
cell phone 0.0008561197901144624
remote 0.0007845052168704569
cell phone 0.0007845052168704569
book 0.0007845052168704569
backpack 0.0044791665859520435
handbag 0.0044791665859520435
suitcase 0.0044791665859520435
remote 0.001142578199505806
backpack 0.0022167968563735485
handbag 0.0022167968563735485
book 0.0011848958674818277
remote 0.00048828125
book 0.0020996094681322575
book 0.0040657552890479565
book 0.001246744766831398
remote 0.0002669270907063037
remote 0.0005240885657258332
book 0.0005240885657258332
remote 0.0012597657041624188
remote 0.000732421875
book 0.000732421875
book 0.0026399740017950535
person 0.001643880270421505
dining table 0.06996093690395355
remote 0.000872395874466747
book 0.0018424479058012366
book 0.0015950520755723119
remote 0.0017871094169095159
book 0.0017871094169095159
book 0.0023600261192768812
dining table 0.010143229737877846
book 0.002236328087747097
book 0.0006705729174427688
book 0.0021093750838190317
remote 0.00045572916860692203
book 0.0035807292442768812
remote 0.00020182292792014778
