tv 0.17841796576976776
chair 0.003746744943782687
chair 0.02584635466337204
chair 0.015035808086395264
dining table 0.1085091158747673
chair 0.001770833390764892
bottle 0.0008398437639698386
cup 0.0014615885447710752
chair 0.006269531324505806
cup 0.003212890587747097
vase 0.003212890587747097
remote 0.0004589843738358468
cell phone 0.0004589843738358468
remote 0.0008365885587409139
cell phone 0.0008365885587409139
chair 0.0018522136379033327
remote 0.0011751302517950535
chair 0.008795573376119137
couch 0.008795573376119137
bottle 0.0013606770662590861
chair 0.030530599877238274
book 0.0033203125931322575
chair 0.0005891927285119891
chair 0.0065201823599636555
couch 0.0065201823599636555
chair 0.042272135615348816
chair 0.0034830730874091387
chair 0.008769531734287739
chair 0.0018522136379033327
chair 0.010234375484287739
