microwave 0.006640625186264515
tv 0.022057292982935905
refrigerator 0.010904948227107525
chair 0.03517903760075569
potted plant 0.010429687798023224
chair 0.07619792222976685
chair 0.025693360716104507
bottle 0.0025358074344694614
bottle 0.0017350261332467198
book 0.0018196614691987634
chair 0.006282552145421505
backpack 0.010377604514360428
handbag 0.010377604514360428
tv 0.006669922266155481
refrigerator 0.006669922266155481
laptop 0.006272786762565374
book 0.0017968750325962901
backpack 0.0015104167396202683
handbag 0.0015104167396202683
backpack 0.006513671949505806
handbag 0.006513671949505806
book 0.0015592448180541396
bottle 0.0006738281226716936
bottle 0.0021875000093132257
bottle 0.0007389322854578495
laptop 0.0011914062779396772
backpack 0.0047721355222165585
dining table 0.07250325381755829
book 0.001181640662252903
chair 0.017639974132180214
laptop 0.007962239906191826
mouse 0.0005240885657258332
chair 0.003893229179084301
dining table 0.082275390625
laptop 0.004163411445915699
book 0.003313802182674408
book 0.0008691406692378223
book 0.0009537760633975267
potted plant 0.005270182620733976
book 0.003199869766831398
book 0.007884114980697632
book 0.0044889324344694614
chair 0.01020833384245634
remote 0.0022135416511446238
keyboard 0.0022135416511446238
cell phone 0.0022135416511446238
book 0.0022135416511446238
cup 0.001373698003590107
book 0.0005078125395812094
vase 0.0023177084513008595
