refrigerator 0.0632617175579071
chair 0.0727832019329071
cup 0.0037011720705777407
chair 0.04691406339406967
dining table 0.0786425769329071
chair 0.0026497396174818277
chair 0.025084635242819786
chair 0.011689453385770321
chair 0.003723958507180214
chair 0.009309896267950535
chair 0.0003515625139698386
chair 0.0299479179084301
backpack 0.005231119692325592
handbag 0.005231119692325592
suitcase 0.005231119692325592
chair 0.00817057304084301
chair 0.009160156361758709
chair 0.004140625242143869
chair 0.0023958333767950535
chair 0.005725911818444729
chair 0.0018131510587409139
chair 0.007679036818444729
chair 0.003040364710614085
dining table 0.07800456136465073
handbag 0.0031510416883975267
chair 0.0021777343936264515
dining table 0.08265624940395355
chair 0.0021647135727107525
chair 0.004329427145421505
chair 0.007031250279396772
cup 0.001220703125
chair 0.002737630158662796
chair 0.0008528645848855376
remote 0.0003515625139698386
cell phone 0.0003515625139698386
chair 0.0067122397013008595
chair 0.0061751301400363445
chair 0.01160481758415699
chair 0.0008919271058402956
chair 0.0025195314083248377
