rug 0.193125
chair 0.005771484375
wall 0.32660807291666666
tv 0.008681640625
chair 0.0025455729166666665
shelf 0.10702473958333333
chair 0.011175130208333333
chair 0.0009830729166666666
book 0.0007682291666666666
book 0.0010026041666666666
paper 0.042180989583333335
chair 0.0011881510416666666
cardboard 0.012972005208333333
dining table 0.00693359375
bowl 0.002216796875
book 0.0015104166666666666
chair 0.008583984375
book 0.0008919270833333333
book 0.0011393229166666667
dining table 0.0180078125
