microwave 0.026923828125
vase 0.011181640625
apple 0.0028743489583333334
bowl 0.03424153645833333
cabinet 0.46857421875
apple 0.004622395833333333
bowl 0.005559895833333333
apple 0.00259765625
potted plant 0.03021809895833333
banana 0.004651692708333334
orange 0.0010904947916666667
light 0.005641276041666666
apple 0.0010579427083333333
bowl 0.002903645833333333
dining table 0.107353515625
wall 0.040849609375
door 0.115751953125
counter 0.026585286458333333
oven 0.026341145833333333
oven 0.012737630208333333
