refrigerator 0.07908854166666666
vase 0.005869140625
chair 0.052272135416666664
chair 0.07296223958333334
oven 0.03721028645833333
ceiling 0.034954427083333336
chair 0.03892252604166667
window 0.023997395833333334
dining table 0.07097330729166666
cup 0.0017936197916666667
floor 0.08632161458333333
cabinet 0.124052734375
sink 0.0022330729166666666
bottle 0.0007845052083333333
counter 0.008938802083333334
chair 0.004915364583333333
wall 0.13195963541666667
wall 0.017392578125
cup 0.0012174479166666666
potted plant 0.017750651041666666
