refrigerator 0.028024088541666665
chair 0.07074544270833333
banana 0.0031217447916666668
chair 0.04144205729166667
chair 0.05232421875
floor 0.144052734375
light 0.009886067708333333
oven 0.016126302083333332
potted plant 0.009440104166666666
cabinet 0.23771158854166666
cup 0.0014225260416666668
sink 0.0014420572916666666
bowl 0.0030924479166666665
counter 0.016136067708333333
wall 0.028251953125
dining table 0.05116536458333333
window 0.06282877604166667
ceiling 0.046305338541666664
wall 0.051663411458333336
vase 0.0010026041666666666
