couch 0.049404296875
chair 0.026751302083333334
chair 0.013968098958333333
vase 0.0007942708333333334
potted plant 0.011800130208333334
chair 0.06845377604166666
dining table 0.247568359375
chair 0.004977213541666667
ceiling 0.020830078125
floor 0.055888671875
bowl 0.0037825520833333335
chair 0.008209635416666666
chair 0.003424479166666667
door 0.0317578125
mirror 0.026158854166666665
chair 0.0085546875
wall 0.22951171875
table 0.009749348958333333
cabinet 0.08807942708333333
chair 0.017679036458333332
