refrigerator 0.05351236979166667
sink 0.008753255208333333
cup 0.007369791666666667
chair 0.03634440104166667
chair 0.05706380208333333
floor 0.14849934895833333
bottle 0.004078776041666667
cabinet 0.14606770833333332
wall 0.2771354166666667
cell phone 0.0005013020833333333
bowl 0.001435546875
bottle 0.001396484375
handbag 0.008108723958333333
paper 0.0046875
counter 0.038505859375
light 0.010774739583333333
bottle 0.0019563802083333334
bottle 0.001979166666666667
door 0.025628255208333332
dining table 0.08452799479166667
