rug 0.116181640625
chair 0.013509114583333334
ceiling 0.3341373697916667
chair 0.011028645833333333
chair 0.007164713541666667
chair 0.002548828125
chair 0.0113671875
chair 0.008880208333333334
window 0.07264322916666667
chair 0.0024772135416666666
bench 0.119306640625
light 0.03706380208333333
wall 0.07775390625
chair 0.015403645833333333
cabinet 0.010120442708333333
chair 0.0044954427083333335
door 0.017376302083333333
dining table 0.004749348958333333
chair 0.0032552083333333335
dining table 0.00044921875
