bicycle 0.0027160493827160493
traffic light 0.00025335480407944177
person 0.002239398819108964
person 0.0006011808910359635
tree 0.3800493827160494
car 0.0014943639291465378
bus 0.0032292002147074612
car 0.0015115405260332797
grass 0.030183574879227053
wall 0.05144390767579173
car 0.0022436929683306494
car 0.0009962426194310252
backpack 0.0006977992485238862
traffic light 0.00025979602791196995
car 0.0002469135802469136
car 0.00044444444444444447
railroad 0.14997316156736445
road 0.24913794954374666
house 0.008622651637144391
sky 0.0846677402039721
