refrigerator 0.052587890625
chair 0.067880859375
chair 0.039811197916666666
sink 0.0009309895833333334
cabinet 0.22732421875
microwave 0.004674479166666667
ceiling 0.065546875
floor 0.17969075520833333
banana 0.0022819010416666665
dining table 0.06804036458333333
wall 0.0524609375
bowl 0.0030045572916666667
potted plant 0.007005208333333333
light 0.015852864583333334
chair 0.038531901041666664
counter 0.013968098958333333
window 0.04501953125
vase 0.0012467447916666666
wall 0.021227213541666668
sink 0.00123046875
