microwave 0.022643229166666667
chair 0.015384114583333334
tv 0.009137369791666667
chair 0.013294270833333333
vase 0.0044986979166666665
chair 0.022174479166666667
cabinet 0.22681315104166666
vase 0.002080078125
vase 0.0018326822916666667
chair 0.010123697916666667
toaster 0.018450520833333334
door 0.08394205729166666
dining table 0.04084635416666667
dining table 0.016184895833333334
ceiling 0.019283854166666666
wall 0.07679036458333334
wall 0.31190104166666666
light 0.0026432291666666666
window 0.046240234375
floor 0.0013053385416666667
