refrigerator 0.072294921875
chair 0.027337239583333332
floor 0.21576497395833333
window 0.03607096354166667
microwave 0.002018229166666667
potted plant 0.0007877604166666666
oven 0.010572916666666666
wall 0.23167317708333332
ceiling 0.052571614583333336
wall 0.06952799479166667
book 0.0029622395833333332
bottle 0.0011100260416666667
cabinet 0.08116861979166666
book 0.004163411458333334
dining table 0.03895182291666666
chair 0.0042578125
vase 0.0009016927083333333
table 0.007666015625
paper 0.020953776041666667
keyboard 0.00408203125
