microwave 0.009651692708333333
refrigerator 0.014274088541666667
chair 0.03471354166666667
cabinet 0.04732421875
chair 0.014404296875
ceiling 0.03962890625
floor 0.25007486979166665
chair 0.015777994791666666
wall 0.2828678385416667
light 0.018424479166666667
knife 0.00013997395833333334
chair 0.008889973958333333
book 0.0027897135416666665
dining table 0.029755859375
dining table 0.011041666666666667
counter 0.04845703125
book 0.0011686197916666668
door 0.031787109375
book 0.0007454427083333333
book 0.000712890625
