road 0.22706172839506172
railroad 0.15306709608158883
car 0.00610198604401503
car 0.0016360708534621578
car 0.00040579710144927536
car 0.0007450348899624262
train 0.001822866344605475
truck 0.02133977455716586
car 0.0009404186795491143
traffic light 1.7176596886741814e-05
person 0.0001524422973698336
wall 0.014028985507246378
tree 0.32508641975308644
traffic light 7.729468599033817e-05
grass 0.03172088030059045
house 0.10232528180354267
sky 0.07634782608695652
pavement 0.011278582930756844
car 0.0007063875469672571
car 0.002477724100912507
