bicycle 0.005182752083241479
car 0.0057801684229090424
tree 0.18759754860896785
road 0.20779507076407566
car 0.0017217053921784755
person 0.0021030818746968828
car 0.0029165380715136017
car 0.0004695560160486751
traffic light 0.00015872316035448172
car 0.0011242890525109122
grass 0.01206957365195538
car 0.00011022441691283453
pavement 0.13924650588598386
building 0.2940170186499713
roof 0.0020788325029760593
traffic light 0.0006106432696971033
car 0.0002645386005908029
car 0.00015431418367796836
car 0.0008002292667871787
car 0.0002336757638552092
