couch 0.24635416666666668
chair 0.016175130208333333
chair 0.010094401041666666
potted plant 0.0042903645833333335
floor 0.15686197916666667
chair 0.008414713541666667
chair 0.0045377604166666665
tv 0.0026692708333333334
chair 0.004384765625
chair 0.012288411458333334
book 0.003219401041666667
fence 0.016022135416666666
ceiling 0.06624674479166667
door 0.038899739583333336
wall 0.17801106770833333
light 0.014645182291666666
mirror 0.061399739583333335
dining table 0.0038444010416666665
cabinet 0.048955078125
rug 0.03565104166666667
