microwave 0.0076302083333333335
tv 0.006197916666666667
potted plant 0.006725260416666667
toaster 0.0087890625
vase 0.0014095052083333334
cabinet 0.11980794270833334
ceiling 0.1869921875
floor 0.027985026041666666
wall 0.34741861979166666
couch 0.00734375
chair 0.00349609375
book 0.0013346354166666667
door 0.04527994791666667
book 0.011712239583333334
chair 0.004544270833333333
bottle 0.0009407552083333334
potted plant 0.006083984375
sink 0.0013248697916666667
wall 0.010641276041666667
counter 0.07407877604166667
