tv 0.011025390625
vase 0.003483072916666667
sink 0.0016829427083333334
floor 0.0463671875
potted plant 0.0060416666666666665
cabinet 0.200927734375
cup 0.0033984375
potted plant 0.009817708333333333
window 0.062350260416666664
door 0.03728515625
paper 0.030865885416666666
bowl 0.002916666666666667
bottle 0.00043619791666666666
food 0.006158854166666667
couch 0.0043326822916666665
ceiling 0.01587890625
wall 0.29175130208333333
oven 0.01240234375
counter 0.12779622395833334
book 0.009143880208333333
