microwave 0.00369140625
chair 0.0304296875
chair 0.0391015625
clock 0.0020865885416666667
chair 0.019495442708333335
chair 0.011809895833333334
chair 0.0118359375
floor 0.21032877604166667
cabinet 0.16078776041666668
chair 0.0025846354166666665
wall 0.19300455729166666
chair 0.008157552083333333
chair 0.002216796875
tv 0.0039029947916666666
window 0.09298502604166667
dining table 0.026175130208333335
chair 0.0044954427083333335
door 0.025846354166666665
rug 0.06746744791666667
dining table 0.00576171875
