refrigerator 0.036080729166666665
chair 0.017005208333333334
potted plant 0.013209635416666667
floor 0.225771484375
cabinet 0.269404296875
cup 0.0030891927083333335
cup 0.0021158854166666665
cup 0.0015006510416666666
bottle 0.001015625
window 0.023229166666666665
chair 0.0067350260416666665
cup 0.000859375
cup 0.0016438802083333333
chair 0.008564453125
cup 0.0019694010416666666
dining table 0.0018619791666666667
paper 0.007965494791666666
bottle 0.0025
wall 0.10277994791666667
counter 0.042425130208333335
potted plant 0.004319661458333333
cup 0.0017513020833333332
sink 0.002783203125
light 0.00173828125
cup 0.0019173177083333334
ceiling 0.008837890625
wall 0.029876302083333334
oven 0.08789713541666666
chair 0.004583333333333333
couch 0.0034537760416666666
